Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
SLIC,SL INNOVATION CAPITAL BERHAD,LEAP,03008,Digital Services,85.09m,0.67,-,4.48,-
SLP,SLP RESOURCES BERHAD,MAIN,7248,Packaging Materials,274.17m,0.87,19.98,6.36,7.00
SLVEST,SOLARVEST HOLDINGS BERHAD,MAIN,0215,Industrial Services,902.09m,1.35,40.79,0.00,10.68
SMCAP,SINMAH CAPITAL BERHAD,MAIN,9776,Agricultural Products,39.24m,0.10,-,0.00,-11.67
SMETRIC,SECUREMETRIC BERHAD,ACE,0203,Software,89.45m,0.16,258.33,0.00,0.82
SMI,SOUTH MALAYSIA INDUSTRIES BERHAD,MAIN,4375,Property,138.56m,0.66,-,0.00,-
SMILE,SMILE-LINK HEALTHCARE GLOBAL BERHAD,LEAP,03023,Health Care Providers,46.33m,0.19,-,0.54,-
SMISCOR,SMIS CORPORATION BERHAD,MAIN,7132,Auto Parts,36.74m,0.82,2.05,0.00,23.57
SMRT,SMRT HOLDINGS BERHAD,ACE,0117,Digital Services,340.12m,0.76,-,0.00,-
SMTRACK,SMTRACK BERHAD,ACE,0169,Technology Equipment,36.45m,0.03,-,0.00,-
SNOWFIT,SNOWFIT GROUP BERHAD,LEAP,03054,Household Goods,42.22m,0.20,-,0.85,-
SNS,SNS NETWORK TECHNOLOGY BERHAD,ACE,0259,Technology Equipment,395.13m,0.25,8.66,2.04,20.21
SNTORIA,SENTORIA GROUP BERHAD,MAIN,5213,Property,46.72m,0.08,-,0.00,-
SOLID,SOLID AUTOMOTIVE BERHAD,MAIN,5242,Automotive,101.28m,0.20,14.34,1.54,3.58
SOLUTN,SOLUTION GROUP BERHAD,ACE,0093,Digital Services,114.11m,0.24,-,0.00,-46.79
SOP,SARAWAK OIL PALMS BERHAD,MAIN,5126,Plantation,2.270b,2.55,10.17,3.92,6.69
SPRING,SPRING ART HOLDINGS BERHAD,ACE,0216,Household Goods,89.37m,0.22,97.73,0.00,1.16
SPRITZER,SPRITZER BHD,MAIN,7103,Food & Beverages,498.13m,1.56,11.86,2.67,8.39
SPSETIA,S P SETIA BERHAD,MAIN,8664,Property,3.969b,0.97,15.32,1.52,2.10
SPTOTO,SPORTS TOTO BERHAD,MAIN,1562,"Travel, Leisure & Hospitality",2.013b,1.49,9.07,6.04,20.54
SRIDGE,SILVER RIDGE HOLDINGS BHD,ACE,0129,Telecommunications Equipment,148.43m,0.71,-,0.00,-45.00
SSB8,SOUTHERN SCORE BUILDERS BERHAD,ACE,0045,Construction,465.88m,0.21,22.28,4.88,13.14
SSF,SSF HOME GROUP BERHAD,ACE,0287,Construction,-,0.00,-,-,-
SSTEEL,SOUTHERN STEEL BERHAD,MAIN,5665,Metals,342.88m,0.58,-,0.00,-22.59
STAR,STAR MEDIA GROUP BERHAD,MAIN,6084,Media,321.28m,0.44,71.31,2.30,0.69
